Case Number,Pre Buyout Disclosure Date,Buyout Agreement Date,Buyout Amount,Unknown Amount,Other Consideration,Number of Tenants,Block Address,ZIP Code,Supervisor District,Analysis Neighborhood,the_geom
B172522,10/2/17,11/22/17,6300,FALSE,FALSE,1,1600 Block of 48th Avenue,94122,4,Sunset/Parkside,"(37.75567061062529, -122.50767020518798)"
B172523,10/2/17,12/18/17,16000,FALSE,FALSE,1,1600 Block of 48th Avenue,94122,4,Sunset/Parkside,"(37.75567061062529, -122.50767020518798)"
B172525,10/3/17,11/21/17,150000,FALSE,TRUE,1,700 Block of Clipper Street,94114,8,Noe Valley,"(37.74869651396314, -122.44044923887064)"
B172530,10/4/17,2/16/18,70000,FALSE,FALSE,1,500 Block of Pierce Street,94117,5,Hayes Valley,"(37.77493768891871, -122.43445713828297)"
B172531,10/3/17,3/7/18,80000,FALSE,TRUE,1,1600 Block of Beach Street,94123,2,Marina,"(37.804693684724285, -122.43627880206397)"
B172543,10/10/17,12/28/17,20000,FALSE,TRUE,1,100 Block of Haight Street,94102,5,Hayes Valley,"(37.772900089786006, -122.42464616916713)"
B172544,10/11/17,2/26/18,20000,FALSE,FALSE,1,400 Block of Hugo Street,94122,5,Inner Sunset,"(37.76519284407125, -122.46263551244299)"
B172596,,10/13/17,3915,FALSE,FALSE,2,200 Block of Nueva Avenue,94134,10,Bayview Hunters Point,"(37.71070909794859, -122.39745644147696)"
B172602,10/17/17,4/11/18,52000,FALSE,TRUE,1,800 Block of 30th Avenue,94121,1,Outer Richmond,"(37.773255461614156, -122.48967873349997)"
B172671,10/18/17,4/2/18,0,FALSE,FALSE,1,2400 Block of Union Street,94123,2,Marina,"(37.79651171135198, -122.43958961288833)"
B172672,10/18/17,12/29/17,36000,FALSE,TRUE,1,0 Block of Pond Street,94114,8,Castro/Upper Market,"(37.76347437701046, -122.43227077496692)"
B172673,10/20/17,1/3/18,30000,FALSE,FALSE,2,2900 Block of Broderick Street,94123,2,Marina,"(37.79742527553104, -122.44411248303793)"
B172674,10/20/17,12/19/17,11000,FALSE,FALSE,1,300 Block of Bartlett Street,94110,9,Mission,"(37.75137629900657, -122.41940955767072)"
B172675,10/20/17,12/19/17,200000,FALSE,TRUE,2,800 Block of Greenwich Street,94133,3,Russian Hill,"(37.80189640951875, -122.4132706352494)"
B172676,10/20/17,1/5/18,21687.5,FALSE,FALSE,2,1500 Block of Golden Gate Avenue,94115,5,Western Addition,"(37.77898707071026, -122.43605197008024)"
B172677,10/20/17,5/7/18,55000,FALSE,TRUE,1,400 Block of Frederick Street,94117,5,Haight Ashbury,"(37.76642860517518, -122.45210996417875)"
B172682,10/23/17,12/19/17,8181,FALSE,FALSE,1,1400 Block of 11th Avenue,94122,7,Inner Sunset,"(37.76115242468763, -122.4681868148694)"
B172719,,10/10/17,17000,FALSE,TRUE,1,200 Block of Cortland Avenue,94110,9,Bernal Heights,"(37.73946425551667, -122.41884332860172)"
B172721,10/26/17,1/25/18,20000,FALSE,TRUE,2,200 Block of Monterey Boulevard,94131,7,West of Twin Peaks,"(37.73168068236128, -122.44088441290504)"
B172737,10/30/17,11/7/17,11000,FALSE,FALSE,2,2500 Block of Rivera Street,94116,4,Sunset/Parkside,"(37.74605384908996, -122.49363635860905)"
B172791,11/1/17,1/4/18,100000,FALSE,TRUE,2,0 Block of Walter Street,94114,8,Castro/Upper Market,"(37.768384878250565, -122.43245078324557)"
B172797,11/3/17,3/28/18,62000,FALSE,TRUE,2,200 Block of Castro Street,94114,8,Castro/Upper Market,"(37.764518504077714, -122.43528751820297)"
B172800,11/3/17,1/22/18,24500,FALSE,FALSE,1,3900 Block of Washington Street,94118,2,Presidio Heights,"(37.78859664797011, -122.4583217451656)"
B172801,11/6/17,1/10/18,0,FALSE,FALSE,2,700 Block of Pine Street,94108,3,Nob Hill,"(37.79119725068159, -122.40768078804746)"
B172806,11/7/17,2/8/18,77700,FALSE,FALSE,1,4700 Block of 18th Street,94114,8,Castro/Upper Market,"(37.75995194127426, -122.44393506268442)"
B172855,9/14/17,11/8/17,6300,FALSE,FALSE,1,100 Block of Maynard Street,94112,11,Excelsior,"(37.72939514948723, -122.4271509655655)"
B172870,11/13/17,1/30/18,17900,FALSE,FALSE,1,300 Block of 26th Avenue,94121,1,Outer Richmond,"(37.78290069384711, -122.48608609195831)"
B172871,11/13/17,4/25/18,58050,FALSE,FALSE,1,300 Block of 26th Avenue,94121,1,Outer Richmond,"(37.78290069384711, -122.48608609195831)"
B172872,11/13/17,11/15/17,12562,FALSE,FALSE,2,500 Block of London Street,94112,11,Excelsior,"(37.72045774558472, -122.43703098813621)"
B172909,11/13/17,1/29/18,50000,FALSE,FALSE,1,900 Block of Stanyan Street,94117,5,Haight Ashbury,"(37.76591718400751, -122.45278441320573)"
B172910,11/13/17,3/6/18,45888,FALSE,FALSE,3,2300 Block of 37th Avenue,94116,4,Sunset/Parkside,"(37.74313150734947, -122.49511341545082)"
B172915,11/13/17,2/21/18,5563.48,FALSE,FALSE,2,600 Block of Bosworth Street,94131,8,West of Twin Peaks,"(37.73352721661692, -122.43460360923336)"
