,lat.,long.,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source,"Unified School District Name","Unified School District LEA code","Unified School District Grade Low","Unified School District Grade High","Elementary School District Name","Elementary School District LEA code","Elementary School District Grade Low","Elementary School District Grade High","Secondary School District Name","Secondary School District LEA code","Secondary School District Grade Low","Secondary School District Grade High"
1541,37.761436,-122.505133,37.761424,-122.505253,1,rooftop,1337,"45th Ave","San Francisco",CA,"San Francisco County",94122,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1546,37.763971,-122.467819,37.763817,-122.467857,1,rooftop,925,"Irving St","San Francisco",CA,"San Francisco County",94122,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1552,37.771429,-122.424061,37.771553,-122.424425,1,rooftop,1834,"Market St","San Francisco",CA,"San Francisco County",94102,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1553,37.788178,-122.416827,37.788177,-122.416827,1,nearest_street,800,"Hyde St","San Francisco",CA,"San Francisco County",94109,US,"TIGER/Line® dataset from the US Census Bureau","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1554,37.788135,-122.390319,37.788135,-122.390319,1,nearest_street,400,"Main St","San Francisco",CA,"San Francisco County",94105,US,"TIGER/Line® dataset from the US Census Bureau","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1555,37.788135,-122.390319,37.788135,-122.390319,1,nearest_street,400,"Main St","San Francisco",CA,"San Francisco County",94105,US,"TIGER/Line® dataset from the US Census Bureau","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1556,37.79072,-122.41875,37.790608,-122.418727,1,rooftop,1499,"California St","San Francisco",CA,"San Francisco County",94109,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1564,37.789701,-122.419853,37.789557,-122.419817,1,rooftop,1465,"Pine St","San Francisco",CA,"San Francisco County",94109,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1565,37.800705,-122.444636,37.800891,-122.444459,1,rooftop,2390,"Francisco St","San Francisco",CA,"San Francisco County",94123,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1568,37.776511,-122.458698,37.776496,-122.45891,1,rooftop,749,"Arguello Blvd","San Francisco",CA,"San Francisco County",94118,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1570,37.750545,-122.446446,37.75041,-122.4463,1,rooftop,40,"Crestline Dr","San Francisco",CA,"San Francisco County",94131,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1572,37.795373,-122.413387,37.795347,-122.413405,1,rooftop,1100,"Jackson St","San Francisco",CA,"San Francisco County",94133,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1574,37.76452,-122.478414,37.764538,-122.478596,1,rooftop,1245,"20th Ave","San Francisco",CA,"San Francisco County",94122,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1575,37.699789,-122.464683,37.699847,-122.464604,1,rooftop,271,"Miriam St","Daly City",CA,"San Mateo County",94014,US,"San Mateo County","See elementary/secondary",,,,"Jefferson Elementary School District",0618870,KG,08,"Jefferson Union High School District",0618930,09,12
1576,37.665264,-122.463741,37.665319,-122.463651,1,rooftop,359,"Half Moon Ln","Daly City",CA,"San Mateo County",94015,US,"San Mateo County","South San Francisco Unified School District",0637530,KG,12,"See unified",,,,"See unified",,,
1578,37.7621,-122.3971,37.76207,-122.397136,1,rooftop,331,"Connecticut St","San Francisco",CA,"San Francisco County",94107,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1579,37.709949,-122.452262,37.710115,-122.45245,1,rooftop,922,"Huron Ave","San Francisco",CA,"San Francisco County",94112,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1580,37.798301,-122.403879,37.798494,-122.403711,1,rooftop,1010,"Montgomery St","San Francisco",CA,"San Francisco County",94133,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
